Voltage,Current,Ah,Wh,Power,Battery_Temp_degC,Time,Chamber_Temp_degC
4.17497,0.0,0.0,0.0,0.0,25.64191,0.0,25.0
4.17497,0.0,0.0,0.0,0.0,25.6307,1311.658003181219,25.0
4.18012,0.0,0.0,0.0,0.0,25.61949,111703.64499874413,25.0
4.10742,0.0,-0.14501,-0.59271,0.0,25.84366,115905.92700317502,25.0
4.06174,0.0,-0.29001,-1.17804,0.0,25.83245,121908.13300050795,25.0
3.95107,0.0,-0.58,-2.32433,0.0,25.61949,126710.72699725628,25.0
3.86808,0.0,-0.87001,-3.44002,0.0,25.61949,131513.34699466825,25.0
3.77993,0.0,-1.16002,-4.52974,0.0,25.6307,136315.9869980067,25.0
3.66862,0.0,-1.45001,-5.59288,0.0,25.84366,141118.60599964857,25.0
3.6075,0.0,-1.74001,-6.633,0.0,25.6307,145921.34400084615,25.0
3.55732,0.0,-2.03002,-7.6551,0.0,25.6307,150723.9669956267,25.0
3.52515,0.0,-2.175,-8.16012,0.0,25.6307,154925.97399652004,25.0
3.47239,0.0,-2.32001,-8.65948,0.0,25.6307,159128.06300260127,25.0
3.40741,0.0,-2.46501,-9.15008,0.0,25.64191,163330.26899658144,25.0
3.35401,0.0,-2.61002,-9.62972,0.0,25.6307,167532.4130013585,25.0
3.30189,0.0,-2.755,-10.09287,0.0,25.77641,170107.44299925864,25.0
3.30189,0.0,-2.755,-10.09287,0.0,25.77641,170107.4479982257,25.0
